ine_mun,nom_municipio,id_com,ine_prov
04002,Abrucena,1,04
04003,Adra,1,04
04001,Abla,1,04
04004,Albanchez,1,04
04005,Alboloduy,1,04
04006,Albox,1,04
22081,Casbas de Huesca,2,22
36009,A Cañiza,12,36
22212,Santaliestra y San Quílez,2,22
10102,Ibahernando,11,10
04007,Alcolea,1,04
04009,Alcudia de Monteagud,1,04
11021,Jimena de la Frontera,1,11
11022,La Línea de la Concepción,1,11
04010,Alhabia,1,04
04011,Alhama de Almería,1,04
20017,Azkoitia,16,20
04022,Bédar,1,04
04014,Almócita,1,04
04021,Bayarque,1,04
04015,Alsodux,1,04
40142,Navares de Ayuso,7,40
04904,Balanegra,1,04
26080,Igea,17,26
11023,Medina Sidonia,1,11
11024,Olvera,1,11
04020,Bayárcal,1,04
11001,Alcalá de los Gazules,1,11
26087,Leiva,17,26
42017,Almajano,7,42
04054,Íllar,1,04
11025,Paterna de Rivera,1,11
04055,Instinción,1,04
10122,Millanes,11,10
04030,Canjáyar,1,04
04023,Beires,1,04
04024,Benahadux,1,04
04026,Benitagla,1,04
11027,El Puerto de Santa María,1,11
04028,Bentarique,1,04
26081,Jalón de Cameros,17,26
04029,Berja,1,04
04031,Cantoria,1,04
04032,Carboneras,1,04
26082,Laguna de Cameros,17,26
11026,Prado del Rey,1,11
04033,Castro de Filabres,1,04
04034,Cóbdar,1,04
04035,Cuevas del Almanzora,1,04
04036,Chercos,1,04
04037,Chirivel,1,04
04038,Dalías,1,04
04041,Enix,1,04
42011,Aldealpozo,7,42
47032,Camporredondo,7,47
11034,Setenil de las Bodegas,1,11
04043,Felix,1,04
04071,Padules,1,04
04067,Ohanes,1,04
21074,Villalba del Alcor,1,21
04051,Huécija,1,04
26070,Grávalos,17,26
11035,Tarifa,1,11
21029,Cumbres Mayores,1,21
21030,Chucena,1,21
46115,Dos Aguas,10,46
04057,Laujar de Andarax,1,04
04058,Líjar,1,04
04044,Fines,1,04
04047,Gádor,1,04
09001,Abajas,7,09
04063,María,1,04
04064,Mojácar,1,04
14006,Añora,1,14
14007,Baena,1,14
04048,Los Gallardos,1,04
46140,Guardamar de la Safor,10,46
04052,Huércal de Almería,1,04
46120,Estivella,10,46
04079,Roquetas de Mar,1,04
21035,Gibraleón,1,21
46124,Fontanars dels Alforins,10,46
04070,Oria,1,04
04053,Huércal-Overa,1,04
21031,Encinasola,1,21
04056,Laroya,1,04
11037,Trebujena,1,11
04075,Pulpí,1,04
04060,Lucainena de las Torres,1,04
31055,Betelu,15,31
14051,Pedroche,1,14
04062,Macael,1,04
04065,Nacimiento,1,04
04068,Olula de Castro,1,04
04078,Rioja,1,04
04069,Olula del Río,1,04
22008,Albalatillo,2,22
04072,Partaloa,1,04
04073,Paterna del Río,1,04
04074,Pechina,1,04
04076,Purchena,1,04
22011,Albero Alto,2,22
36010,Catoira,12,36
14050,Pedro Abad,1,14
36013,Covelo,12,36
04094,Turrillas,1,04
04077,Rágol,1,04
04080,Santa Cruz de Marchena,1,04
04090,Tahal,1,04
04096,Urrácal,1,04
46116,l'Eliana,10,46
04081,Santa Fe de Mondújar,1,04
22012,Albero Bajo,2,22
04082,Senés,1,04
04084,Sierro,1,04
04085,Somontín,1,04
04087,Suflí,1,04
26084,Lardero,17,26
04088,Tabernas,1,04
04089,Taberno,1,04
26086,Ledesma de la Cogolla,17,26
04091,Terque,1,04
